financial_year,property_type,no_of_cases,annual_value,median_annual_value,property_tax_collection,tax_per_case,tax_yoy_return,cases_yoy_return,median_av_yoy_return
2002,Commercial,63179,,,250178,3.959828424001646,,,
2003,Commercial,64549,,,282671,4.3791693132349065,12.987952577764638,2.1684420456164144,
2004,Commercial,65433,,,500220,7.644766402274082,76.96190978204342,1.3695022386094324,
2005,Commercial,66169,,,512972,7.752452054587495,2.5492783175402822,1.1248146959485172,
2006,Commercial,66186,5421594.0,,565779,8.548318375487263,10.294324056673654,0.025691789206416793,
2007,Commercial,66360,7949568.0,,763990,11.512808921036768,35.033290383701065,0.2628954763847391,
2008,Commercial,67027,8760042.0,,984143,14.682784549509899,28.81621487192241,1.005123568414712,
2009,Commercial,75767,10224382.0,,630157,8.317037760502593,-35.96895979547688,13.039521386903786,
2010,Commercial,76825,10372654.0,42000.0,896014,11.663052391799544,42.18901004035502,1.3963862895455703,
2011,Commercial,77586,12630138.0,45600.0,1229525,15.847253370453432,37.22162823348742,0.9905629677839256,8.571428571428562
2012,Commercial,77768,,48000.0,1297599,16.685513321674726,5.536609666334558,0.23457840332019586,5.263157894736836
2013,Commercial,77928,,53200.0,1420893,18.233407761010163,9.501702760251817,0.20574015019030334,10.83333333333334
2014,Commercial,78847,,55600.0,1452177,18.417656981242153,2.201713992538501,1.1792937070115972,4.511278195488733
2015,Commercial,79221,,57600.0,1467894,18.52910213201045,1.082306082522999,0.47433637297551456,3.597122302158273
2016,Commercial,77421,,60200.0,1569334,20.270133426331356,6.910580736756189,-2.2721248153898532,4.513888888888884
2017,Commercial,79183,,60600.0,1547935,19.548829925615347,-1.3635720630534975,2.2758683044652006,0.6644518272425293
2018,Commercial,80039,,61200.0,1635055,20.428228738489985,5.628143300590782,1.0810401222484556,0.990099009900991
2019,Commercial,81555,,62800.0,1715165,21.03077677640856,4.89952937362963,1.8940766376391416,2.614379084967311
2002,HDB,780522,,,33681,0.043151890657790556,,,
2003,HDB,793949,,,32382,0.04078599507021232,-3.8567738487574554,1.7202590061522915,
2004,HDB,800298,,,51325,0.06413236069564088,58.49854857636958,0.7996735306675884,
2005,HDB,808771,,,72694,0.08988205561277543,41.63468095470044,1.058730622842985,
2006,HDB,814123,4568182.0,,82073,0.10081154813216185,12.902027677662531,0.6617447954983646,
2007,HDB,821546,5538635.0,,86083,0.1047817164224523,4.885894264861768,0.9117786870042943,
2008,HDB,827168,5573563.0,,82164,0.09933169561685172,-4.552582972247709,0.6843195633598143,
2009,HDB,829267,6855130.0,,98139,0.118344272713131,19.44282167372573,0.25375739873882974,
2010,HDB,836041,6864915.0,8100.0,112520,0.13458670089146346,14.653705458584243,0.8168659792322508,
2011,HDB,847608,8119977.0,9600.0,104543,0.12333885475361252,-7.0894063277639585,1.3835445869281537,18.518518518518512
2012,HDB,858641,,10500.0,144415,0.16819019823185707,38.13933022775318,1.3016630329114376,9.375
2013,HDB,873254,,10800.0,150158,0.17195226131228714,3.9767337187965213,1.7018754054372032,2.857142857142847
2014,HDB,899624,,10440.0,140286,0.1559384809653811,-6.574408289934597,3.0197399611109788,-3.3333333333333326
2015,HDB,922365,,10080.0,134257,0.145557344435229,-4.297649088291067,2.5278338505864584,-3.4482758620689613
2016,HDB,943089,,9600.0,122876,0.13029099056398707,-8.477025406496496,2.246832869850879,-4.761904761904767
2017,HDB,971917,,9600.0,117947,0.12135501282516922,-4.011361046909078,3.0567634655902065,0.0
2018,HDB,990093,,9600.0,120168,0.12137041671842948,1.8830491661508963,1.8701185389287334,0.0
2019,HDB,1002671,,9600.0,121330,0.12100679086160865,0.9669795619466015,1.270385711241273,0.0
2002,Industrial,23533,,,265690,11.290103259252964,,,
2003,Industrial,26443,,,324610,12.275838596225844,22.17622040724152,12.365614243827828,
2004,Industrial,27183,,,441624,16.246330427105175,36.04756477003173,2.798472185455503,
2005,Industrial,27613,,,459622,16.645130916597253,4.075412568157533,1.581871022330139,
2006,Industrial,28174,4592576.0,,474975,16.858628522751474,3.3403535949106056,2.0316517582298133,
2007,Industrial,29108,4619586.0,,473459,16.26559708671156,-0.3191746934049111,3.3151132249591875,
2008,Industrial,31042,6104261.0,,636185,20.494330262225372,34.369607505612954,6.644221519857085,
2009,Industrial,32297,7895683.0,,437322,13.540638449391585,-31.25867475655666,4.042909606339795,
2010,Industrial,35591,8344341.0,36900.0,838790,23.5674749234357,91.80146436721684,10.199089698733621,
2011,Industrial,36709,8942726.0,39500.0,907783,24.72916723419325,8.225300730814622,3.141243572813357,7.046070460704601
2012,Industrial,39497,,42500.0,960293,24.31306175152543,5.784422048000448,7.594867743605116,7.594936708860756
2013,Industrial,41144,,43850.0,998659,24.27228757534513,3.99523895311118,4.1699369572372635,3.1764705882352917
2014,Industrial,45118,,44400.0,1139602,25.258256128374484,14.113225835845867,9.658759478903356,1.2542759407069504
2015,Industrial,48942,,41800.0,1265357,25.85421519349434,11.034992918580343,8.475552994370329,-5.855855855855852
2016,Industrial,52209,,40000.0,1212276,23.219674768718036,-4.194942613033314,6.675248253034205,-4.30622009569378
2017,Industrial,53036,,37200.0,1274141,24.024077984765064,5.103210819978288,1.5840180811737437,-6.999999999999995
2018,Industrial,53817,,35800.0,1321801,24.56103090101641,3.740559325851689,1.4725846594765724,-3.7634408602150504
2019,Industrial,54590,,36000.0,1338633,24.521579043780914,1.2734140767029167,1.4363491090175984,0.5586592178770999
2002,Others,4164,,,185015,44.43203650336215,,,
2003,Others,3901,,,186192,47.72930017944117,0.6361646352998296,-6.316042267050914,
2004,Others,3633,,,228301,62.840902835122485,22.615901864741762,-6.8700333247885155,
2005,Others,3588,,,251267,70.02982162764772,10.059526677500319,-1.2386457473162693,
2006,Others,4122,3991085.0,,312575,75.83090732654051,24.399543115490687,14.88294314381271,
2007,Others,4206,5228859.0,,451938,107.45078459343794,44.58545948972245,2.0378457059679667,
2008,Others,4240,6451032.0,,460380,108.58018867924528,1.8679553390066772,0.8083689966714269,
2009,Others,3837,4558745.0,,137739,35.897576231430804,-70.08145445067117,-9.504716981132077,
2010,Others,2209,4706050.0,150000.0,188774,85.45676776822091,37.05196059213441,-42.428980974719835,
2011,Others,2277,5497245.0,274000.0,830623,364.788317962231,340.00921737103624,3.0783159800814808,82.66666666666667
2012,Others,2089,,284000.0,475979,227.85016754427957,-42.69614494180873,-8.256477821695219,3.649635036496357
2013,Others,2164,,293500.0,596153,275.4865988909427,25.247752526897195,3.59023456199139,3.3450704225352013
2014,Others,1916,,306000.0,475327,248.08298538622128,-20.26761586371284,-11.46025878003697,4.258943781942071
2015,Others,1527,,335000.0,440070,288.19253438113947,-7.41742000769996,-20.302713987473908,9.477124183006547
2016,Others,1189,,280000.0,314253,264.30025231286794,-28.590224282500508,-22.13490504256712,-16.417910447761198
2017,Others,1019,,285000.0,329847,323.6967615309127,4.962243797195254,-14.297729184188391,1.7857142857142794
2018,Others,1283,,231000.0,375977,293.0452065471551,13.985271959423606,25.90775269872423,-18.947368421052634
2019,Others,1383,,229000.0,419589,303.39045553145337,11.599645723009644,7.7942322681215925,-0.8658008658008698
2002,Private Residential,204943,,,287656,1.4035902665619222,,,
2003,Private Residential,216809,,,269401,1.2425729559197265,-6.346121756542534,5.789902558272297,
2004,Private Residential,229047,,,287125,1.2535636790702345,6.579040166888772,5.644599624554325,
2005,Private Residential,237522,,,309703,1.3038918500181036,7.8634740966478045,3.7001139504119207,
2006,Private Residential,240652,5395685.0,,310829,1.2916119541911142,0.3635741339283127,1.3177726694790337,
2007,Private Residential,240525,5461625.0,,376615,1.565803970481239,21.16469184020795,-0.052773299203834334,
2008,Private Residential,245826,6493329.0,,445512,1.8123062654072393,18.29374825750434,2.20392890551917,
2009,Private Residential,248587,6785710.0,,418383,1.6830445678977581,-6.089398265366586,1.123152148267481,
2010,Private Residential,259342,8265247.0,24000.0,536166,2.067409058309105,28.15195646094608,4.326453112994644,
2011,Private Residential,269748,9560314.0,27600.0,599055,2.2207949641887983,11.729389778538746,4.012462308457554,14.999999999999991
2012,Private Residential,282185,,28800.0,617439,2.18806456757092,3.068833412624894,4.610599522517322,4.347826086956519
2013,Private Residential,294634,,30000.0,719953,2.443550303087899,16.603097633936304,4.411644842922202,4.166666666666674
2014,Private Residential,314788,,29400.0,837899,2.6617882511404503,16.382458299361204,6.84035107964458,-2.0000000000000018
2015,Private Residential,339622,,27000.0,853202,2.5122106341756423,1.8263537729487744,7.889119026138225,-8.163265306122447
2016,Private Residential,367588,,25200.0,838729,2.281709413800233,-1.696315761097611,8.234448887292345,-6.666666666666665
2017,Private Residential,386642,,24000.0,830792,2.1487370746064833,-0.9463128137932486,5.183520680762155,-4.761904761904767
2018,Private Residential,400023,,24000.0,830087,2.0750981818545435,-0.08485878535180458,3.4608242249936527,0.0
2019,Private Residential,402323,,24000.0,818724,2.034991785207408,-1.36889265823944,0.5749669394009782,0.0
